X,Y
3.076854312,-7.24500332
6.312585405,-14.37130703
9.515552766,-21.32992859
13.21110891,-28.2508782
15.86310201,-35.9777701
16.79888413,-44.06725357
16.17457943,-52.17389665
14.84019331,-60.16310028
13.08203082,-67.97721596
8.952344562,-75.15692695
2.000597635,-80.17745558
-3.620745874,-85.11707606
-5.49898911,-92.23522012
-5.123995831,-99.75814251
-2.874238537,-107.0070935
0.740310732,-113.6888522
5.551230636,-119.5880809
11.15573924,-125.1212815
13.92640749,-133.0202153
10.76788241,-141.2034371
3.909547954,-147.0195073
-4.434014043,-147.649706
-11.77213809,-142.3688216
-16.2299149,-135.3374398
-19.45709624,-127.887352
-23.58037829,-121.5402891
-29.34862439,-116.5476196
-36.23398973,-113.7056002
-43.2003341,-114.4658302
-50.3837964,-117.4116706
-56.65334102,-121.7154817
-60.12291669,-127.8009401
-62.83189655,-135.0343365
-67.56197021,-141.7836028
-72.57959103,-147.9313668
-76.80708295,-154.5917224
-80.93137505,-161.6144493
-86.3394125,-167.3331959
-94.03962229,-170.1828018
-102.5862258,-170.9841534
-110.6802064,-171.6467998
-118.5344771,-171.6670109
-126.5032115,-169.8331782
-134.1958899,-167.2184826
-141.4239055,-163.8141765
-147.6132076,-158.17422
-152.1888778,-150.9729229
-155.0243746,-143.0447301
-156.2503397,-134.9551412
-156.4545716,-126.8937051
-156.26679,-118.9385735
-155.7492525,-111.0257197
-154.453655,-103.084358
-151.9508231,-95.31986148
-147.8931954,-88.27849158
-142.124976,-82.42234169
-134.788226,-78.00571223
-126.3314807,-75.39752404
-118.0599742,-75.64471099
-111.2458664,-79.90883221
-105.8826629,-86.81086961
-100.4114467,-93.7342764
-94.31242003,-98.7150344
-87.99696647,-99.78715649
-81.82186093,-96.620376
-76.32925371,-90.75471566
-72.94667523,-83.87416362
-71.68145929,-76.55072117
-72.13586389,-68.88733007
-74.62693517,-61.85405057
-79.41094014,-56.38317051
-85.75196182,-52.08721611
-92.6032142,-48.58368266
-99.83118744,-45.19148866
-107.081072,-41.11272907
-112.9092322,-35.68068164
-116.0656749,-28.36308439
-117.0900045,-19.98787936
-117.5682662,-11.37117978
-118.0817713,-2.985511929
-116.8558763,4.791563422
-111.8973646,11.28364543
-104.5306375,16.03831097
-96.94671084,19.64033625
-89.1570703,21.7443064
-80.99157814,21.52346521
-72.93197756,19.50942469
-65.35607342,16.5135725
-58.44497201,12.37188436
-52.31081022,7.195322256
-46.09811454,2.204519413
-39.1338722,-0.928062632
-32.25371689,-0.016978647
-26.29706952,4.413351204
-21.28492096,10.32787936
-14.7184954,14.75306358
-5.822550595,14.64455149
0.227349632,7.980609562
0.142677907,-7.86999038
3.575681361,-15.59986564
6.790368126,-22.58426853
10.5642803,-29.66307446
13.02324638,-36.94483783
13.81729081,-44.39906868
13.18422626,-51.93350543
11.88152168,-59.66685219
10.15538994,-67.31784267
6.364758594,-73.6389023
0.283254154,-77.71763214
-5.598267845,-82.86110468
-8.374315134,-91.37935783
-8.121696002,-99.87558903
-5.745061655,-107.8779405
-1.903808447,-115.1061149
3.219714178,-121.475945
9.045587002,-127.2537115
11.07652224,-133.9573141
8.018798665,-140.0023798
2.011615955,-144.6961791
-4.551862161,-144.6520216
-9.925515154,-140.004507
-13.67842893,-133.7594919
-16.70189545,-126.7003943
-21.06015444,-119.9128765
-27.36840148,-114.2940186
-35.06121287,-110.9443334
-43.45189475,-111.4763959
-51.49857861,-114.6264847
-58.33980358,-119.2343843
-62.69885157,-126.2632276
-65.63813801,-133.9736721
-70.00846778,-140.0473281
-74.90292994,-146.0334479
-79.33781545,-152.9807001
-83.51808056,-160.0949248
-88.50861846,-165.2608674
-95.02395429,-167.3488839
-102.8505581,-167.9958213
-110.9249827,-168.6568024
-118.5403774,-168.6670167
-125.8159132,-166.9129691
-133.2279682,-164.3789179
-140.142387,-161.1016665
-145.5742019,-155.9736619
-149.6470659,-149.3794385
-152.1952565,-142.0466866
-153.2827086,-134.515635
-153.4554298,-126.8219484
-153.2676408,-119.010013
-152.7556809,-111.2220067
-151.4932255,-103.5700093
-149.0974395,-96.24625347
-145.3001595,-89.78718794
-140.0003135,-84.54031465
-133.2550667,-80.58435969
-125.461523,-78.26861682
-118.1796393,-78.64232341
-112.9058031,-82.407754
-108.2688391,-88.62915537
-102.765256,-95.59427149
-96.21997773,-101.030466
-88.58136627,-102.7296855
-80.56434514,-99.34409663
-74.16592257,-92.83317624
-70.26607273,-85.22114924
-68.72954876,-77.08572048
-69.14022647,-68.72560066
-71.7913839,-60.87443381
-77.12497228,-54.44040162
-84.05247358,-49.61502281
-91.2330757,-45.91484013
-98.55630936,-42.47585137
-105.6088052,-38.49883728
-110.851713,-33.49742381
-113.2915519,-27.2210506
-114.1098184,-19.64365465
-114.572825,-11.20585603
-115.0873797,-2.80215696
-113.8946865,4.310569861
-109.55728,9.406412371
-102.9272433,13.50273864
-95.66322655,16.92875588
-88.3836382,18.84572006
-81.09659501,18.52530387
-73.67127184,16.601944
-66.46355566,13.72547582
-59.99354374,9.802463098
-54.25114386,4.907286994
-47.97708996,-0.134166413
-40.38096843,-3.656569733
-31.94845653,-3.001407589
-24.56959032,1.960635241
-19.0077474,8.374809828
-13.0598229,12.25330248
-5.956349304,11.64753665
-2.103383988,6.091779026
-1.18,-0.83
2.46,0.3